,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ARPC1B,869.2234417,-0.546474845,0.197548334,-2.766284244,0.005669909,0.75811694
NLRP2,4.426698915,-3.235682077,1.170341951,-2.764732201,0.005696954,0.75811694
ERAP2,28.80847854,1.493048994,0.541714966,2.75615238,0.005848574,0.768802227
LGMN,14.10774079,1.913131298,0.695283026,2.751586371,0.005930738,0.770209913
NEAT1,412.7162961,0.637020228,0.232013828,2.74561319,0.006039793,0.775034847
KRTCAP2,97.78795574,-0.881955295,0.32522206,-2.711855688,0.006690771,0.84846854
TRA2A,31.9051393,1.194928653,0.441667005,2.705496762,0.006820231,0.849639791
EPHX1,45.87041554,-1.070028435,0.396021946,-2.70194227,0.006893573,0.849639791
OSBPL11,120.1212601,-0.744284153,0.275673194,-2.699878588,0.006936478,0.849639791
CITED2,142.4401581,0.693223825,0.257138249,2.695918738,0.007019479,0.850145651
CD37,455.2493494,-0.579615328,0.21539449,-2.69094779,0.007124934,0.853329647
COMT,356.0168396,-0.585148128,0.219309665,-2.668136531,0.007627326,0.899394156
VIM,5788.813365,-0.471787354,0.176965845,-2.665979728,0.007676432,0.899394156
ACAT2,34.20185203,1.167087429,0.438380028,2.662273266,0.007761484,0.899581028
ALDOA,34.8788501,-1.124225816,0.423025159,-2.657586178,0.007870247,0.902482851
CORO1A,10.37216292,-2.348660479,0.887273705,-2.647052951,0.008119664,0.911686
GPR34,22.92025405,1.683871402,0.639219252,2.634262653,0.008432023,0.936997722
TRAPPC5,9.041099677,-2.072616482,0.788530899,-2.628453094,0.008577418,0.943428497
ELOB,684.9069517,-0.484157468,0.184699934,-2.621319112,0.008759023,0.953671817
SLIRP,121.0244069,-0.746298381,0.285558124,-2.613472773,0.008962722,0.966091855
FABP4,3767.639407,-0.644606046,0.249186141,-2.586845494,0.009685901,0.999991689
CPVL,207.2416934,-0.587155863,0.227812291,-2.577366919,0.009955621,0.999991689
UQCRQ,230.2556735,-0.582925975,0.226712881,-2.571208015,0.010134443,0.999991689
PPP1CB,84.9768402,0.748651498,0.29194178,2.564386289,0.010335844,0.999991689
CXCL9,1.780648408,5.107517646,2.007438779,2.544295596,0.010949838,0.999991689
TYROBP,3895.05932,-0.475012681,0.187255799,-2.536704784,0.011190127,0.999991689
IL1A,15.133064,1.543204104,0.609132843,2.533444262,0.01129477,0.999991689
CAMP,22.40911874,-1.624095958,0.641147929,-2.533106454,0.011305661,0.999991689
CALR,300.0476286,0.612954354,0.242352315,2.529187122,0.011432706,0.999991689
LDLR,8.464119135,2.106485317,0.833989598,2.525793274,0.011543739,0.999991689
CEACAM8,10.01116037,-2.383147359,0.953465294,-2.499458947,0.012438311,0.999991689
CAVIN3,7.082524587,2.471233438,0.990076293,2.49600304,0.012560153,0.999991689
GLIPR2,425.6074806,-0.51147291,0.205341418,-2.490841422,0.012744099,0.999991689
RIPOR2,4.270841725,-3.072100675,1.23544886,-2.486627148,0.012896048,0.999991689
AXL,135.8424322,0.773372943,0.311749983,2.480747341,0.013110727,0.999991689
PSAP,886.3066273,-0.458092486,0.185219797,-2.473237162,0.013389525,0.999991689
NOP53,100.6144588,-0.75145223,0.303909592,-2.472617682,0.013412755,0.999991689
CD33,62.49964318,-0.808872383,0.32958688,-2.454200799,0.014119811,0.999991689
JAKMIP2,20.51300393,-1.424974033,0.581819716,-2.44916766,0.014318678,0.999991689
ARHGDIB,348.4341182,-0.598213555,0.244628761,-2.445393392,0.014469422,0.999991689
LINC01914,5.050696278,-2.695227618,1.106057485,-2.436788011,0.014818364,0.999991689
MFSD14B,39.22871169,0.994059461,0.407993825,2.436457123,0.014831928,0.999991689
HEXA,173.2828514,-0.725257108,0.299452209,-2.421946091,0.015437641,0.999991689
TKT,557.2518711,-0.502501425,0.207867401,-2.417413325,0.015631256,0.999991689
GIMAP7,14.64471883,-1.896454241,0.785451417,-2.41447682,0.015757826,0.999991689
IFITM2,34.10126925,-1.048708335,0.436315842,-2.40355319,0.016236605,0.999991689
PHKG1,17.81448131,1.382299242,0.576961472,2.395825909,0.016582964,0.999991689
AKR1C1,6.757484726,-2.810063272,1.173383493,-2.394837911,0.016627714,0.999991689
TNNT1,11.48934146,-1.964320965,0.823809798,-2.384435061,0.017105367,0.999991689
CD3D,21.21115547,-1.44663378,0.606841018,-2.383876067,0.017131371,0.999991689
SLC27A3,103.3333713,-0.770411381,0.323571461,-2.380962087,0.017267489,0.999991689
SON,210.3587353,-0.57924754,0.244825479,-2.365961026,0.017983337,0.999991689
PIM1,40.42387265,0.930467648,0.393510945,2.364528,0.018053063,0.999991689
TDRD3,11.18880013,1.682187997,0.713952397,2.356162685,0.018464829,0.999991689
MSR1,594.8780877,1.055668586,0.448392092,2.35434256,0.018555502,0.999991689
ATP5F1E,1714.040068,-0.404500054,0.172161187,-2.349542664,0.01879649,0.999991689
RNASEK-C17orf49,11.76360324,-2.177028123,0.927265355,-2.347794094,0.018884958,0.999991689
LTB,33.64679007,-1.127862947,0.481860356,-2.340642748,0.019250578,0.999991689
OSM,4.766378206,2.764145546,1.190626856,2.321588442,0.020255107,0.999991689
INSIG1,16.69281965,1.373137527,0.593265714,2.31454051,0.020638092,0.999991689
GNPTG,70.8529003,-0.754273048,0.326067279,-2.313243608,0.020709249,0.999991689
RNPEP,61.20409519,-0.812313058,0.352255337,-2.306034777,0.021108689,0.999991689
ARID1B,29.64513842,1.030318764,0.44775169,2.301094085,0.021386314,0.999991689
ABHD16A,7.990316133,-2.19595984,0.954323915,-2.301063406,0.021388047,0.999991689
AOC3,9.252099781,-1.880694181,0.81783239,-2.299608335,0.021470419,0.999991689
IFI30,118.5835755,-0.630744123,0.274904335,-2.294413159,0.021766778,0.999991689
BTG2,35.73014273,-1.057134397,0.461680039,-2.289755477,0.022035495,0.999991689
ACOT1,24.2497588,-3.665188763,1.601482495,-2.288622432,0.022101299,0.999991689
FN1,687.7541674,1.499379487,0.655589903,2.287069219,0.022191783,0.999991689
TSC22D1,25.11985046,1.139618527,0.499245299,2.282682541,0.022449075,0.999991689
DHCR7,6.908059937,2.102510075,0.925181427,2.272538136,0.023054027,0.999991689
LIMS1,83.53927704,0.707580223,0.311550769,2.271155438,0.02313757,0.999991689
NMB,76.09067017,0.885220078,0.389903677,2.270355811,0.023186003,0.999991689
CXCL2,18.8140572,1.53634985,0.676822909,2.269943628,0.023211004,0.999991689
CAPZA1,136.2828695,0.626348266,0.27593476,2.269914331,0.023212781,0.999991689
C18orf32,54.89830821,-0.786883391,0.34680166,-2.26897239,0.023270005,0.999991689
SPINT2,109.5189399,-0.723037452,0.320250588,-2.257724042,0.023962869,0.999991689
LETM1,17.43275469,1.297803674,0.57495099,2.257242262,0.023992941,0.999991689
HSPA8,413.2804357,-0.464797807,0.206617038,-2.249561848,0.024476773,0.999991689
PLBD1,353.3486991,-0.501104512,0.223101552,-2.246082595,0.024698718,0.999991689
CLIC1,874.8280353,-0.419664025,0.186921224,-2.245138437,0.024759247,0.999991689
ALOX5AP,1577.836433,0.451985343,0.20137103,2.244540059,0.024797675,0.999991689
ROMO1,191.4349142,-0.591168822,0.263534201,-2.243233782,0.024881743,0.999991689
TIMP1,210.1704528,-0.614243883,0.273878238,-2.242762653,0.024912124,0.999991689
WFDC2,1.978205695,-3.879676335,1.730473665,-2.241973636,0.024963076,0.999991689
HSPA1A,108.4912317,-0.650341496,0.290388709,-2.239555038,0.025119824,0.999991689
SCGB1A1,16.51743286,-4.904368154,2.203280288,-2.225939287,0.026018248,0.999991689
CXCL8,4.873025425,2.516692255,1.130783959,2.225617222,0.026039832,0.999991689
HSPB1,340.5328668,-0.521983393,0.236330444,-2.208701446,0.027195414,0.999991689
ALCAM,68.89865926,0.763088027,0.346129352,2.204632526,0.027479891,0.999991689
NDUFA13,323.3448851,-0.47187074,0.215005395,-2.194692554,0.028185659,0.999991689
ATF3,4.185541337,2.683429145,1.224349872,2.191717585,0.028399905,0.999991689
PTMS,336.3701763,0.490294115,0.224165846,2.187193646,0.028728391,0.999991689
SET,164.2240347,0.610602935,0.279282729,2.186325443,0.028791804,0.999991689
HOPX,4.303526119,-2.950582225,1.350268573,-2.185181736,0.028875524,0.999991689
SLC50A1,35.27755616,0.907987607,0.415717647,2.184144966,0.028951597,0.999991689
NTRK3,5.362172571,-2.541067504,1.166429967,-2.178499847,0.029368844,0.999991689
