,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GTF2IRD2,13.27447415,-1.201650443,0.589020786,-2.040081556,0.041342203,NA
DPH3,99.76849784,-0.510356782,0.250174545,-2.040002843,0.041350043,0.360815854
AATBC,6.532473062,-1.825468195,0.895050395,-2.03951443,0.041398713,NA
EI24,30.16113525,0.820039127,0.402215818,2.038803774,0.041469616,NA
ZNF322,30.40840793,-0.811576474,0.398168214,-2.038275393,0.041522399,NA
COX16,44.79163706,-0.702541439,0.344836063,-2.037320091,0.041617976,NA
TRAPPC10,57.36538068,-0.618600264,0.303821754,-2.036063105,0.041744019,NA
FHOD1,9.914909575,1.387593101,0.681839571,2.035072708,0.041843558,NA
INO80,30.11737611,-0.779109704,0.38305744,-2.033923956,0.041959263,NA
SDC4,18.90218725,1.045646868,0.514546783,2.032170643,0.042136384,NA
CARNMT1,12.25805452,1.249173105,0.614780121,2.031902239,0.042163554,NA
MPZL3,1.728855687,3.471267984,1.708429353,2.031847544,0.042169092,NA
NABP1,37.62624533,0.742563361,0.365571033,2.031242339,0.042230417,NA
PPID,52.08549718,-0.617691671,0.304219542,-2.030414178,0.042314457,NA
COMMD8,64.13974733,0.567582288,0.279561221,2.03026116,0.04233,NA
RNF167,32.81379456,-0.804274375,0.396296671,-2.029475479,0.042409884,NA
HNRNPA3,192.9645442,0.397971027,0.196162874,2.02877853,0.042480853,0.36634523
PLD3,273.2631812,-0.360789687,0.177981221,-2.027122219,0.042649915,0.36634523
IGHD,1.15419454,-4.30085847,2.122512315,-2.026305543,0.042733484,NA
HSD17B11,241.6987054,-0.426418445,0.210671552,-2.024091251,0.042960764,0.36634523
MIER3,6.030507888,1.805929205,0.892463315,2.023533265,0.043018198,NA
EIF3G,184.7840998,-0.391553145,0.193517591,-2.023346525,0.043037433,0.36634523
TNFSF13,20.09930379,-0.926311899,0.458098884,-2.02207849,0.043168244,NA
SEC23A,26.72852078,0.837927376,0.414439029,2.021835103,0.04319339,NA
MARVELD1,16.53606872,1.148076382,0.56805787,2.021055323,0.043274038,NA
CAPZA1,204.8171772,0.489608335,0.242278271,2.020851206,0.04329517,0.36634523
TK1,4.101555705,-1.99435159,0.987147665,-2.020317386,0.043350477,NA
SELENON,47.77627394,0.651996885,0.322941853,2.018929662,0.043494531,NA
BHLHE41,212.8131431,0.565498372,0.280190143,2.018266477,0.043563516,0.36634523
MFAP5,4.850587152,2.805015051,1.389884726,2.018163808,0.043574204,NA
SOD1,326.96529,-0.369202414,0.183071317,-2.016713593,0.043725411,0.36634523
PUM1,41.8952016,0.676237059,0.335364294,2.016425339,0.043755518,NA
DAZAP2,90.24958155,0.503450759,0.249840664,2.015087339,0.043895499,0.36634523
LGALS3BP,349.7429445,-0.412538472,0.204794273,-2.014404337,0.043967099,0.36634523
AFTPH,31.95491205,0.768924662,0.3819897,2.012946061,0.044120304,NA
TMED2,101.5422045,0.523813436,0.260275539,2.01253425,0.04416365,0.36634523
RND3,13.59007211,1.346354673,0.669099866,2.012187927,0.044200131,NA
RHBDD2,160.7047043,0.44259289,0.220088593,2.010976055,0.044327986,0.36634523
TPMT,58.6159606,0.591059607,0.294348167,2.008028836,0.044640228,NA
GOLM1,6.267263272,1.835274176,0.914086703,2.007768158,0.044667934,NA
MMAB,47.94356604,0.709250736,0.353857182,2.004341784,0.045033461,NA
ADAMTSL4,96.16966702,0.610400289,0.304619831,2.003810086,0.045090408,0.368977118
CAMK4,0.986647644,-4.338821315,2.167256758,-2.001987673,0.045286057,NA
ACY1,2.782959676,-2.448005514,1.224283049,-1.999542111,0.04554973,NA
SNCA,11.44094239,1.542938199,0.771828884,1.99906771,0.045601028,NA
PNPLA4,18.73184681,-1.143046395,0.571923716,-1.998599398,0.045651716,NA
RHOA,794.2600289,-0.308596891,0.154537628,-1.99690454,0.045835554,0.368977118
AL445686.2,1.621321827,-3.700264745,1.853199789,-1.9966896,0.045858913,NA
COX17,373.1432531,-0.462501455,0.231658207,-1.996482061,0.045881476,0.368977118
PCOLCE2,278.1708945,0.471658441,0.236359035,1.995516867,0.045986536,0.368977118
RUNX1,80.20122597,0.548500292,0.27513593,1.993561114,0.046200039,NA
UBL5,593.0591803,-0.389867675,0.195624637,-1.992937503,0.046268291,0.368977118
POMP,560.4019305,0.331278074,0.166296088,1.992097816,0.046360327,0.368977118
SNAI3,26.79634184,-0.916158151,0.460113376,-1.991157396,0.046463586,NA
STX2,21.0606632,-0.894548768,0.449287763,-1.991037464,0.046476769,NA
