,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PRKCB,1.678861971,2.475275344,1.601399611,1.545694983,0.12217825,NA
EVA1B,10.27027715,-0.990391469,0.64144678,-1.543996322,0.122589224,NA
ARHGEF12,1.165559387,-2.859766303,1.852369762,-1.543842036,0.122626605,NA
RILP,9.538904367,1.106482662,0.717137729,1.542915143,0.122851366,NA
DBNL,29.22371757,0.637551365,0.413485719,1.541894523,0.123099227,NA
PEBP4,0.826564323,-3.292782428,2.136608434,-1.541125822,0.123286166,NA
RGS9,2.133258148,2.112165827,1.370565652,1.541090589,0.12329474,NA
TGOLN2,63.72540284,-0.510145115,0.331445735,-1.539151243,0.123767377,NA
CBL,14.40179552,-0.822342878,0.534448806,-1.538674741,0.123883722,NA
PMEPA1,1.624797028,2.481102174,1.61436904,1.536886618,0.124321077,NA
DNAJC7,29.45829087,0.615343051,0.400395133,1.536839488,0.124332621,NA
ACP1,18.85604121,-0.724486071,0.471517772,-1.536497911,0.12441631,NA
GNA13,8.062611975,1.265767914,0.824671163,1.534875925,0.124814308,NA
APLP2,109.5157656,0.422607306,0.275602286,1.533395505,0.125178436,0.422385715
NOXA1,0.824314848,-3.289394368,2.146996042,-1.532091491,0.125499859,NA
SHMT1,0.824314848,-3.289394368,2.146996042,-1.532091491,0.125499859,NA
TRAF7,6.691683695,-1.185148764,0.773735668,-1.531723058,0.12559079,NA
TGFB1,40.91292064,-0.5417337,0.35380049,-1.531184143,0.125723889,NA
PNPLA6,22.05054343,0.700023281,0.457233016,1.530998978,0.125769645,NA
TCIRG1,24.62867744,0.680481599,0.444605604,1.530528614,0.125885936,NA
NQO2,12.23427742,1.027128058,0.67132436,1.530002662,0.12601607,NA
USP33,13.59870305,0.889947848,0.582126682,1.528787248,0.126317195,NA
CD274,12.41224742,0.910314929,0.595862104,1.52772751,0.126580207,NA
VNN2,5.528411278,-1.458000586,0.954850462,-1.52694128,0.126775614,NA
BEX3,2.173987646,-2.311281877,1.515193514,-1.525403756,0.127158423,NA
CARD6,4.351968282,1.521942196,0.997802262,1.525294394,0.127185685,NA
S100A8,681.1178394,-1.06396057,0.69823717,-1.523781053,0.127563414,0.423216339
ATP5MG,210.3727751,-0.347808034,0.228290222,-1.52353452,0.127625031,0.423216339
AMY2B,1.16216947,2.907554208,1.912559011,1.520242875,0.128449945,NA
KLF2,18.11752087,0.893571149,0.588843481,1.51750198,0.129139994,NA
