,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HIST1H1C,21.02449578,-1.023012254,0.443119345,-2.30866078,0.020962412,NA
SLC2A3,12.32735871,1.380855031,0.600747556,2.298561215,0.021529868,NA
ETHE1,16.95904765,1.160270886,0.505067366,2.297259661,0.021603961,NA
FAU,642.3130832,-0.401770737,0.174987478,-2.295997066,0.021676049,0.325470136
CDC42,109.9701145,0.617262785,0.268982114,2.294809775,0.021744028,0.325470136
AGO3,5.911247715,2.20923639,0.967367972,2.283760114,0.022385633,NA
LUC7L3,23.28398899,0.986183147,0.434811413,2.268070982,0.023324881,NA
LYAR,15.46982967,-1.433928473,0.636988807,-2.251104662,0.024378909,NA
IL32,455.9519038,0.41366275,0.184152654,2.246303494,0.024684575,0.363711784
CCR7,3.574757587,-2.553715261,1.138139897,-2.243762183,0.024847707,NA
MLF1,2.66628065,-3.203082004,1.435899395,-2.23071478,0.025700028,NA
CST7,68.41749894,-0.638721241,0.286965398,-2.225777898,0.026029062,0.366101466
HNRNPH1,43.60303456,0.804822433,0.361592649,2.225771005,0.026029524,0.366101466
GIMAP1,26.66879667,-1.171330918,0.528435908,-2.21659978,0.026650453,0.366101466
TMSB4X,1736.190017,0.462024411,0.208680854,2.214023967,0.02682713,0.366101466
LMO4,15.85417516,1.152056037,0.52041214,2.21373782,0.02684682,NA
CAPZA1,30.32362562,0.866301579,0.391368489,2.21351898,0.026861886,0.366101466
PCNX2,3.525947515,2.964617408,1.340551091,2.211491548,0.027001817,NA
CD27,9.52199178,-1.546079586,0.700250741,-2.207894252,0.027251646,NA
OSM,4.817413934,-2.138461808,0.969854653,-2.204930193,0.027458993,NA
TMA7,172.7721847,-0.556389902,0.252687506,-2.201889244,0.027673133,0.366101466
ACSL4,4.412259586,-2.180414897,0.990312294,-2.201744753,0.027683344,NA
KRTCAP2,43.93200299,-0.717126891,0.326035449,-2.199536567,0.027839792,0.366101466
IRF2BP2,8.087218564,1.613814693,0.738425658,2.185480252,0.028853652,NA
UQCRQ,36.59731558,-0.822045267,0.376634408,-2.182607986,0.029064691,0.366101466
BTF3,149.6666887,-0.436727336,0.200557376,-2.177568056,0.02943821,0.366101466
ACTN4,35.98126635,0.786798106,0.362202146,2.17226241,0.029835876,0.366101466
C6orf62,19.88590688,1.142644121,0.526345413,2.170901642,0.029938608,NA
SMAD5,2.52948412,3.393888973,1.564407365,2.169440677,0.030049244,NA
KLF3,3.583772705,-2.53428962,1.168389335,-2.169045493,0.03007923,NA
TM2D2,6.073369038,-1.749424957,0.806758043,-2.168462988,0.030123478,NA
RICTOR,9.191338646,1.73204979,0.798878906,2.168100543,0.030151038,NA
HIST1H2AC,8.314036809,-1.542476302,0.711823364,-2.166936884,0.030239667,NA
SVIL,3.756758267,-2.32096528,1.072648602,-2.163770386,0.030481976,NA
ZNF140,1.259550818,-4.142480181,1.915504095,-2.162605755,0.030571515,NA
HOXB-AS1,1.91131347,-3.702974095,1.717785131,-2.1556678,0.031109614,NA
MLLT6,10.27318576,1.476814057,0.686708601,2.150568749,0.031510254,NA
SSBP1,40.37055231,0.710848284,0.330540417,2.150563887,0.031510638,0.380955538
NEAT1,68.71570249,0.670413183,0.314961625,2.128555134,0.033291084,0.393958218
RGL4,14.16653678,-1.323326359,0.623027307,-2.124026256,0.033667948,NA
TSPAN2,6.382502825,1.854350998,0.873146849,2.123756159,0.033690539,NA
